Index,Metropolitian Area/City,Country,Official est. GDP(billion US$),Metropolitian Population,Metropolitian_Area,City
268,George Town,Malaysia,27535.0,2050000,George Town,
269,"Gettysburg, PA MSA",United States,4429.0,106027,Gettysburg,PA MSA
270,Ghent metropolitan area,Belgium,39015.0,561524,Ghent,
271,Gibraltar,Gibraltar,3265.0,32688,Gibraltar,
272,Gladstone,Australia,4464.0,45130,Gladstone,
273,Glasgow,United Kingdom,677.0,1861315,Glasgow,
274,"Glens Falls, NY MSA",United States,8034.0,126440,Glens Falls,NY MSA
275,Goiânia,Brazil,22763.0,2078438,Goiânia,
276,Gold Coast,Australia,26669.0,679127,Gold Coast,
277,"Goldsboro, NC MSA",United States,6049.0,117286,Goldsboro,NC MSA
278,Gothenburg,Sweden,104766.0,1051345,Gothenburg,
279,Granada metropolitan area,Spain,18091.0,495900,Granada,
280,Grand Besançon Métropole,France,19018.0,197494,Grand Besançon Métropole,
281,"Grand Forks, ND-MN MSA",United States,6580.0,103144,Grand Forks,ND-MN MSA
282,"Grand Island, NE MSA",United States,5387.0,76333,Grand Island,NE MSA
283,"Grand Junction, CO MSA",United States,8218.0,158636,Grand Junction,CO MSA
284,Grand Poitiers communauté urbaine,France,15217.0,266160,Grand Poitiers communauté urbaine,
285,"Grand Rapids-Kentwood, MI MSA",United States,77296.0,1094198,Grand Rapids-Kentwood,MI MSA
286,Grand Reims,France,23619.0,297068,Grand Reims,
287,"Grants Pass, OR MSA",United States,3658.0,87730,Grants Pass,OR MSA
288,Graz,Austria,32416.0,351369,Graz,
289,"Great Falls, MT MSA",United States,4781.0,84864,Great Falls,MT MSA
290,Greater Buenos Aires,Argentina,235600.0,13700000,Greater Buenos Aires,
291,Greater Cairo,Egypt,190200.0,21500000,Greater Cairo,
292,Dhaka,Bangladesh,2582.0,21300000,Dhaka,
293,Greater Dublin Area,Ireland,272454.0,1400000,Greater Dublin Area,
294,Greater Helsinki,Finland,125166.0,1320000,Greater Helsinki,
295,Greater Manchester,United Kingdom,108000.0,2812569,Greater Manchester,
296,Greater Manila Area,Philippines,1623.0,26400000,Greater Manila Area,
297,Greater Mexico City,Mexico,340800.0,21804515,Greater Mexico City,
298,Greater Montreal,Canada,17053.0,4336487,Greater Montreal,
299,Greater São Paulo,Brazil,261642.0,22600000,Greater São Paulo,
300,Greater Sudbury,Canada,7242.0,172476,Greater Sudbury,
301,Greater Tokyo Area,Japan,2080758.0,40700000,Greater Tokyo Area,
302,Greater Toronto and Hamilton Area,Canada,349201.0,7281694,Greater Toronto and Hamilton Area,
303,Greater Vancouver,Canada,122113.0,2743765,Greater Vancouver,
304,"Greeley, CO MSA",United States,27344.0,350176,Greeley,CO MSA
305,"Green Bay, WI MSA",United States,24565.0,330292,Green Bay,WI MSA
306,"Greensboro-High Point, NC MSA",United States,49029.0,784101,Greensboro-High Point,NC MSA
307,"Greenville-Anderson, SC MSA",United States,57403.0,958958,Greenville-Anderson,SC MSA
308,"Greenville, NC MSA",United States,10921.0,173542,Greenville,NC MSA
309,Grenoble metropolitan area,France,53606.0,760823,Grenoble,
310,Groningen,Netherlands,22301.0,232874,Groningen,
311,Guadalajara,Mexico,65800.0,5750000,Guadalajara,
312,Shenzhen,China,455694.0,14678000,Shenzhen,
313,Guangzhou,China,429.0,18676000,Guangzhou,
314,Tianjin,China,243.0,13866000,Tianjin,
315,Suzhou,China,356.0,12748000,Suzhou,
316,Ningbo,China,234.0,9618000,Ningbo,
317,Foshan,China,189.0,9499000,Foshan,
318,Nantong,China,169.0,7727000,Nantong,
319,Dongguan,China,167.0,10466000,Dongguan,
320,Changzhou,China,142.0,5278000,Changzhou,
321,Guelph,Canada,7891.0,167658,Guelph,
322,Guiyang,China,62511.0,5987018,Guiyang,
323,Gujranwala,Pakistan,15681.0,5011066,Gujranwala,
324,"Gulfport-Biloxi, MS MSA",United States,23511.0,420782,Gulfport-Biloxi,MS MSA
325,Gwangju,South Korea,36000.0,1630000,Gwangju,
326,"Hagerstown-Martinsburg, MD-WV MSA",United States,13990.0,302510,Hagerstown-Martinsburg,MD-WV MSA
327,Haifa,Israel,25082.0,1050000,Haifa,
328,Haixi Prefecture,China,8986.0,468216,Haixi Prefecture,
329,"Halifax, Nova Scotia",Canada,18228.0,450910,Halifax,Nova Scotia
330,Hamamatsu,Japan,543.0,800866,Hamamatsu,
331,Hamburg Metropolitan Region,Germany,261306.0,5100000,Hamburg Metropolitan Region,
332,Hami,China,8814.0,673383,Hami,
333,"Hammond, LA MSA",United States,5447.0,137048,Hammond,LA MSA
334,"Hanford-Corcoran, CA MSA",United States,8146.0,152981,Hanford-Corcoran,CA MSA
335,Hangzhou,China,279000.0,12500000,Hangzhou,
